Qun Li,2663653257_https://scholar.google.com/citations?hl=en&user=hHKC6FEAAAAJ
Antoinette Marty,2134615706
Robert Rose,3037526934
Matthew Wawersik,2054548406
Mack Lundy,2064577241
Ellen Rosen,2145835012
Qingsen Wang,2950700099
Ludmila Cherkasova,2809762893
Zhuoyao Zhang,3038102302
Peter Johnson,2488719887
Michael LeFew,2900808815
Kaushal Kafle,2810138167
Margaret Saha,2140436312
Kathleen Moore,2255935222
D. Abraham,2135302468
Tanping Wang,2112309098
Rowan Lockwood,2092725442
Nicolas Balen,2505255200
Dung Tien,2115773729
Shannon Hughes,2227847671
N. Chrisochoides,2974227451
K. Barker,2974387733
Leonidas Linardakis,34504414
Alan Papir,2327440701
Adam Carpenter,2328818725
Robert Dickerson,2948808032
B. Narahari,2798958587
Hao Xu,2950990169
Anna Brunstrom,2657739280
Monica Tremblay,2922176856
S.A. Kubricht,1230427347
B.B. Lowekamp,2973911063
L. Xiao,2974530069
Eugeniy Mikhailov,2070676417
Gregory Smith,2574714213
Michael Wagner,2479836436
Weilin Wang,2690529188
Huda Mustafa,2131498599
Gagan Agrawal,2955602122
Tianran Hu,3007846476_https://scholar.google.com/citations?hl=en&user=0qBjVmQAAAAJ
A. Rifkin,2973312334
Robert Pike,2070476085
Daniel Lantz,2620384247
Amanda Watson,2884430828
Bill Bynum,2303008131
Subhas Roy,2610435775
Frank Ferrante,2124277041
Michael Seiler,2108447300
Qi Xia,2904431342
Song Jiang,2659297693
Stephanie Blackmon,2113748288
Zhen Peng,2955252032
Hector Guerrero,2216051618
Caroline Golino,2561529406
Laura Odorizzi,2633180002
Atiqur Rahman,2917294107
John Marken,3022541746
Scott Swan,2154746162
Ettore Vitali,2425389855
William Fox,2970658166
M.L. Ulrey,2314201154
Jeffrey Dobbelaere,2045867142
Tingting Chung,3010231727
J. Kearns,2973686025
David Palacio,2966344303
Daniel McCrystal,2966731219
Haining Wang,2697078158
Robert Lewis,2123226421_https://scholar.google.com/citations?hl=en&user=hdoSFx0AAAAJ
John Hoskins,2883038343
George Purnell,2883865928
Sriram Krishnamoorthy,2807893145
Abhinav Vishnu,2808584267
Robert Hannafin,2251329537
Han Li,2304750469
Richard Dutton,2103673720
Donelson Wright,2145402001
B.D. Lubachevsky,2717915018
A.G. Greenberg,2973628926
William Cooke,2004326064
Karl Kuschner,2212950546
Eugene Tracy,2464972775
Dariya Malyarenko,2894522098
R.L. Jones,2295181222
Jeffrey Buffkin,2520957149
Elaine Chou,1993717768
Ryan McGill,2109962533
T.W. Long,2629373759
Zichang Liu,2906877011
Linyong Nan,2907142453
Zhehan Shi,2908363061
Daniel Leong,2361848011
George Simms,2000107913
Tanujit Dey,2102335561
Patrick Steele,2247702521
David Backer,2491969518
George Vahala,2996768655
Harry Gao,2303451404
Leiba Rodman,2087418678
Minglong Sun,2987126503
Irina Novikova,2237118153
Austin Kalasky,2978128996
Sofia Brown,3007553225
Savannah Cuzzo,3007902235
Nik Prajapati,3008715593
Victor Trujillo,2990229764
Ruiqin Tian,2921070039
Marcia Zangrilli,1964288732
Derrin Pierret,2222880314
Leah Shaw,2121403192
Vladimir Bolotnikov,1980724594
Alexander Powell,2896085907
Michael Luchs,1974697375
Jidong Hou,2119901844
Brett Cooley,2321314650
Haiming Chen,2655844095
Hao Shi,2100283788
Huy Nguyen,2554925465
Jie Xu,2652132805
Richard Prosl,2308414128
F. Stevens,2637380063
Paul Stockmeyer,104235055
Bo Zhang,2309335919
George Ruddy,2313242575
Bruce Cutler,2502849792
Philip Heidelberger,2955856139
Paul Hellyer,2097101152
S.L. Peterson,2973946482
P. Kearns,2974393954
David Nicol,2611815020
Conor Sipe,1930214261
Pradeep Kumar,3014934247
Lishan Yang,2796043043
James Stronge,2462861861
John Kottas,2618629662
C.M. Andersen,2098472292
Shuyin Jiao,2988097389
Jeanne Wilson,2121619491
D. Cronk,2309057728
Christopher Weld,2112967142
Karen Richardson,2501083025
Frank Willard,2615583377
Qiong Wu,2904705253
Jacob Alter,2986891792
James McCombs,2329073051
Benjamin Strahs,2274870446
Xiaoran Peng,3004261234
P. Heidelberger,2955386007
A. Chatterjee,2805715475
A. Segev,2806745718
J.L. Zhao,2807392308
Serge Hallyn,2304131259
Anya Lunden,2602061640
Richie Bonett,2965020153
Mary Oberlies,2898867952
William Bynum,2154109961
Andersen Lori,2254687438
Adam Rifkin,2395518731
William Poole,2311254456
Mario Vasquez,2906204698
Doron Kishoni,1850164421
Xu Li,2547909706
Anthony Stefanidis,https://scholar.google.com/citations?hl=en&user=j4EYclEAAAAJ
Nikos Chrisochoides,https://scholar.google.com/citations?hl=en&user=i0zT6P4AAAAJ
Dr. Qi,https://scholar.google.com/citations?hl=en&user=05BTnPwAAAAJ
Bo Dong,https://scholar.google.com/citations?hl=en&user=3jZV_3sAAAAJ
Dachuan Liu,https://scholar.google.com/citations?hl=en&user=edILTBsAAAAJ
Nathan Cooper,https://scholar.google.com/citations?hl=en&user=JAoIyAQAAAAJ
Myles Baker,https://scholar.google.com/citations?hl=en&user=CpQWyYsAAAAJ
