Arizona State University,asu.edu
University of Oklahoma,ou.edu
University of Oregon,uoregon.edu
University of Pennsylvania,upenn.edu
University of Pittsburgh,pitt.edu
University of Rochester,rochester.edu
University of South Carolina,sc.edu
University of South Florida,usf.edu
University of Southern California,usc.edu
University of Southern Mississippi,usm.edu
University of Utah,utah.edu
University of Virginia,virginia.edu
University of Washington,uw.edu
University of Wisconsin Madison,wisc.edu
University of Wisconsin Milwaukee,uwm.edu
Vanderbilt University,vanderbilt.edu
Virginia Commonwealth University,vcu.edu
Virginia Polytechnic Institute and State University,vt.edu
Washington State University,wsu.edu
Washington University in St. Louis,wustl.edu
Wayne State University,wayne.edu
West Virginia University,wvu.edu
Yale University,yale.edu
Air Force Institute of Technology Graduate School of Engineering & Management,afit.edu
American University,american.edu
Arkansas State University,astate.edu
Azusa Pacific University,apu.edu
Ball State University,bsu.edu
Baylor University,baylor.edu
Boise State University,boisestate.edu
Bowling Green State University,bgsu.edu
Brigham Young University,byu.edu
Catholic University of America,cua.edu
Central Michigan University,cmich.edu
Chapman University,chapman.edu
Claremont Graduate University,cgu.edu
Clark Atlanta University,cau.edu
Clark University,clarku.edu
Clarkson University,clarkson.edu
Cleveland State University,csuohio.edu
College of William and Mary,wm.edu
Colorado School of Mines,mines.edu
Delaware State University,desu.edu
DePaul University,depaul.edu
Duquesne University,duq.edu
East Carolina University,ecu.edu
East Tennessee State University,etsu.edu
Eastern Michigan University,emich.edu
Florida Agricultural and Mechanical University,famu.edu
Florida Atlantic University,fau.edu
Florida Institute of Technology,fit.edu
Fordham University,fordham.edu
Gallaudet University,gallaudet.edu
Georgia Southern University,georgiasouthern.edu
Hampton University,hamptonu.edu
Howard University,howard.edu
Idaho State University,isu.edu
Illinois Institute of Technology,iit.edu
Illinois State University,ilstu.edu
Indiana University   Purdue University Indianapolis,iupui.edu
Jackson State University,jsums.edu
Jefferson (Philadelphia University + Thomas Jefferson University),jefferson.edu
Kennesaw State University,kennesaw.edu
Kent State University at Kent,kent.edu
Lehigh University,lehigh.edu
Louisiana Tech University,latech.edu
Loyola Marymount University,lmu.edu
Loyola University Chicago,luc.edu
Marquette University,marquette.edu
Marshall University,marshall.edu
Mercer University,mercer.edu
Miami University,miamioh.edu
Michigan Technological University,mtu.edu
Missouri University of Science and Technology,mst.edu
Montclair State University,montclair.edu
Morgan State University,morgan.edu
New Mexico State University,nmsu.edu
North Carolina A & T State University,ncat.edu
North Dakota State University,ndsu.edu
Northern Arizona University,nau.edu
Northern Illinois University,niu.edu
Nova Southeastern University,nova.edu
Oakland University,oakland.edu
Ohio University,ohio.edu
Old Dominion University,odu.edu
Ponce Health Sciences University,psm.edu
Portland State University,pdx.edu
Rochester Institute of Technology,rit.edu
Rockefeller University,rockefeller.edu
Rowan University,rowan.edu
Saint Louis University,slu.edu
San Diego State University,sdsu.edu
Seton Hall University,shu.edu
South Dakota State University,sdstate.edu
Southern Methodist University,smu.edu
Stevens Institute of Technology,stevens.edu
SUNY College of Environmental Science and Forestry,esf.edu
Tennessee State University,tnstate.edu
Tennessee Technological University,tntech.edu
Texas A&M University,tamu.edu
Texas Christian University,tcu.edu
Texas Southern University,tsu.edu
Texas State University,txstate.edu
The New School,newschool.edu
The University of Montana,umontana.edu
The University of Texas at San Antonio,utsa.edu
University of Texas Rio Grande Valley,utrgv.edu
University of Akron Main Campus,uakron.edu
University of Alabama in Huntsville,uah.edu
University of Alaska Fairbanks,alaska.edu
University of Arkansas at Little Rock,ualr.edu
University of California Merced,ucmerced.edu
University of Colorado Colorado Springs,uccs.edu
University of Dayton,udayton.edu
University of Denver,du.edu
University of Idaho,uidaho.edu
University of Louisiana at Lafayette,louisiana.edu
University of Maine,maine.edu
University of Maryland, Eastern Shore,umes.edu
University of Maryland, Baltimore County,umbc.edu
University of Massachusetts Boston,umb.edu
University of Massachusetts Dartmouth,umassd.edu
University of Massachusetts Lowell,uml.edu
University of Memphis,memphis.edu
University of Missouri Kansas City,umkc.edu
University of Missouri St. Louis,umsl.edu
University of Nebraska at Omaha,unomaha.edu
University of New England,une.edu
University of New Orleans,uno.edu
University of North Carolina at Charlotte,uncc.edu
University of North Carolina at Greensboro,uncg.edu
University of North Carolina Wilmington,uncw.edu
University of North Dakota,und.edu
University of Puerto Rico,upr.edu
University of Rhode Island,uri.edu
University of San Diego,ucsd.edu
University of South Alabama,southalabama.edu
University of South Dakota,usd.edu
University of Toledo,utoledo.edu
University of Tulsa,utulsa.edu
University of Vermont,uvm.edu
University of Wyoming,uwyo.edu
Utah State University,usu.edu
Villanova University,villanova.edu
Wake Forest University,wfu.edu
Western Michigan University,wmich.edu
Wichita State University,wichita.edu
Worcester Polytechnic Institute,wpi.edu
Wright State University,wright.edu
