"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1158167855)', 'id': 1158167855, 'dn': 'CVPR: Computer Vision and Pattern Recognition', 'sn': 'cvpr', 'norm': '', 'd': '', 'pc': 7843, 'pcby': [], 'ccnt': 1277767, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -9.4172058869, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1155092908)', 'id': 1155092908, 'dn': 'PIMRC: Personal, Indoor and Mobile Radio Communications', 'sn': 'pimrc', 'norm': '', 'd': '', 'pc': 1714, 'pcby': [], 'ccnt': 94370, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -11.9922707012, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1158363782)', 'id': 1158363782, 'dn': 'NSDI: Networked Systems Design and Implementation', 'sn': 'nsdi', 'norm': '', 'd': '', 'pc': 544, 'pcby': [], 'ccnt': 61670, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.0121785871, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1183230087)', 'id': 1183230087, 'dn': 'ISSCC: International Solid-State Circuits Conference', 'sn': 'isscc', 'norm': '', 'd': '', 'pc': 1204, 'pcby': [], 'ccnt': 211013, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.0345906718, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1121344769)', 'id': 1121344769, 'dn': 'ADHOCNETS: Ad Hoc Networks', 'sn': 'adhocnets', 'norm': '', 'd': '', 'pc': 1059, 'pcby': [], 'ccnt': 84725, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.0495031315, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1168671587)', 'id': 1168671587, 'dn': 'AAMAS: Adaptive Agents and Multi-Agents Systems', 'sn': 'aamas', 'norm': '', 'd': '', 'pc': 1656, 'pcby': [], 'ccnt': 109465, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.125607702, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1171178643)', 'id': 1171178643, 'dn': 'SOSP: Symposium on Operating Systems Principles', 'sn': 'sosp', 'norm': '', 'd': '', 'pc': 389, 'pcby': [], 'ccnt': 106933, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.1279547317, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1138550902)', 'id': 1138550902, 'dn': 'SenSys: International Conference on Embedded Networked Sensor Systems', 'sn': 'sensys', 'norm': '', 'd': '', 'pc': 485, 'pcby': [], 'ccnt': 73369, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.1653113007, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1191753779)', 'id': 1191753779, 'dn': 'IPDPS: International Parallel and Distributed Processing Symposium', 'sn': 'ipdps', 'norm': '', 'd': '', 'pc': 1514, 'pcby': [], 'ccnt': 101103, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.175811362, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1187904452)', 'id': 1187904452, 'dn': 'DAC: Design Automation Conference', 'sn': 'dac', 'norm': '', 'd': '', 'pc': 1413, 'pcby': [], 'ccnt': 225457, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.1851673904, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=2232857946)', 'id': 2232857946, 'dn': 'EMBC: International Conference of the IEEE Engineering in Medicine and Biology Society', 'sn': 'embc', 'norm': '', 'd': '', 'pc': 1578, 'pcby': [], 'ccnt': 324498, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.1933597396, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1166315290)', 'id': 1166315290, 'dn': 'UIST: User Interface Software and Technology', 'sn': 'uist', 'norm': '', 'd': '', 'pc': 1003, 'pcby': [], 'ccnt': 81496, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.2001126896, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1155608529)', 'id': 1155608529, 'dn': 'ISWC: International Semantic Web Conference', 'sn': 'iswc', 'norm': '', 'd': '', 'pc': 1006, 'pcby': [], 'ccnt': 74746, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.2080602522, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1164963593)', 'id': 1164963593, 'dn': 'LREC: Language Resources and Evaluation', 'sn': 'lrec', 'norm': '', 'd': '', 'pc': 1288, 'pcby': [], 'ccnt': 83227, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.2225775724, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1185109434)', 'id': 1185109434, 'dn': 'OSDI: Operating Systems Design and Implementation', 'sn': 'osdi', 'norm': '', 'd': '', 'pc': 332, 'pcby': [], 'ccnt': 76603, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.2368714152, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1198780418)', 'id': 1198780418, 'dn': 'CDC: Conference on Decision and Control', 'sn': 'cdc', 'norm': '', 'd': '', 'pc': 1634, 'pcby': [], 'ccnt': 393419, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.2440441068, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1174091362)', 'id': 1174091362, 'dn': 'ASPLOS: Architectural Support for Programming Languages and Operating Systems', 'sn': 'asplos', 'norm': '', 'd': '', 'pc': 683, 'pcby': [], 'ccnt': 82436, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.2566409311, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1180274659)', 'id': 1180274659, 'dn': 'NDSS: Network and Distributed System Security Symposium', 'sn': 'ndss', 'norm': '', 'd': '', 'pc': 642, 'pcby': [], 'ccnt': 54277, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.2662913103, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1127352206)', 'id': 1127352206, 'dn': 'PLDI: Programming Language Design and Implementation', 'sn': 'pldi', 'norm': '', 'd': '', 'pc': 864, 'pcby': [], 'ccnt': 108477, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.2687112521, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1131605622)', 'id': 1131605622, 'dn': 'ICPR: International Conference on Pattern Recognition', 'sn': 'icpr', 'norm': '', 'd': '', 'pc': 1299, 'pcby': [], 'ccnt': 175466, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.2817524069, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=2622962978)', 'id': 2622962978, 'dn': 'AISTATS: International Conference on Artificial Intelligence and Statistics', 'sn': 'aistats', 'norm': '', 'd': '', 'pc': 960, 'pcby': [], 'ccnt': 61897, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.2910865313, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1164519180)', 'id': 1164519180, 'dn': 'HICSS: Hawaii International Conference on System Sciences', 'sn': 'hicss', 'norm': '', 'd': '', 'pc': 1189, 'pcby': [], 'ccnt': 199521, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.2951716861, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1184619595)', 'id': 1184619595, 'dn': 'MobiSys: International Conference on Mobile Systems, Applications, and Services', 'sn': 'mobisys', 'norm': '', 'd': '', 'pc': 463, 'pcby': [], 'ccnt': 49772, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.2960516083, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1169674987)', 'id': 1169674987, 'dn': 'COLING: International Conference on Computational Linguistics', 'sn': 'coling', 'norm': '', 'd': '', 'pc': 1121, 'pcby': [], 'ccnt': 102413, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.3164024945, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1183478919)', 'id': 1183478919, 'dn': 'ICDM: International Conference on Data Mining', 'sn': 'icdm', 'norm': '', 'd': '', 'pc': 1113, 'pcby': [], 'ccnt': 111471, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.3179360407, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1198654179)', 'id': 1198654179, 'dn': 'BMVC: British Machine Vision Conference', 'sn': 'bmvc', 'norm': '', 'd': '', 'pc': 808, 'pcby': [], 'ccnt': 78761, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.3317854925, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1131589359)', 'id': 1131589359, 'dn': 'SIGMETRICS: Measurement and Modeling of Computer Systems', 'sn': 'sigmetrics', 'norm': '', 'd': '', 'pc': 888, 'pcby': [], 'ccnt': 84692, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.337094845, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=2534597628)', 'id': 2534597628, 'dn': 'USENIX ATC: USENIX Annual Technical Conference', 'sn': 'usenix atc', 'norm': '', 'd': '', 'pc': 668, 'pcby': [], 'ccnt': 62082, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.3391115025, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1124504716)', 'id': 1124504716, 'dn': 'SIGCSE: Technical Symposium on Computer Science Education', 'sn': 'sigcse', 'norm': '', 'd': '', 'pc': 1388, 'pcby': [], 'ccnt': 78274, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.3746344207, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1178330879)', 'id': 1178330879, 'dn': 'DATE: Design, Automation, and Test in Europe', 'sn': 'date', 'norm': '', 'd': '', 'pc': 1378, 'pcby': [], 'ccnt': 106608, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.3850544108, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1159170270)', 'id': 1159170270, 'dn': 'CloudCom: IEEE International Conference on Cloud Computing Technology and Science', 'sn': 'cloudcom', 'norm': '', 'd': '', 'pc': 822, 'pcby': [], 'ccnt': 47636, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.3988493389, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1150919317)', 'id': 1150919317, 'dn': 'MICRO: International Symposium on Microarchitecture', 'sn': 'micro', 'norm': '', 'd': '', 'pc': 765, 'pcby': [], 'ccnt': 87995, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.4081895887, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1200222865)', 'id': 1200222865, 'dn': 'ICDCS: International Conference on Distributed Computing Systems', 'sn': 'icdcs', 'norm': '', 'd': '', 'pc': 988, 'pcby': [], 'ccnt': 90149, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.4299806088, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1126322613)', 'id': 1126322613, 'dn': 'ICME: International Conference on Multimedia and Expo', 'sn': 'icme', 'norm': '', 'd': '', 'pc': 1326, 'pcby': [], 'ccnt': 80463, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.4475502298, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=2621451516)', 'id': 2621451516, 'dn': 'OFC: Optical Fiber Communication Conference', 'sn': 'ofc', 'norm': '', 'd': '', 'pc': 1219, 'pcby': [], 'ccnt': 127079, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.4561246108, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1153524033)', 'id': 1153524033, 'dn': 'CRYPTO: International Cryptology Conference', 'sn': 'crypto', 'norm': '', 'd': '', 'pc': 636, 'pcby': [], 'ccnt': 196095, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.4939261484, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1120384002)', 'id': 1120384002, 'dn': 'WSDM: Web Search and Data Mining', 'sn': 'wsdm', 'norm': '', 'd': '', 'pc': 612, 'pcby': [], 'ccnt': 45672, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.5038234569, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1192710900)', 'id': 1192710900, 'dn': 'ISCAS: International Symposium on Circuits and Systems', 'sn': 'iscas', 'norm': '', 'd': '', 'pc': 1270, 'pcby': [], 'ccnt': 199133, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -12.5197558059, 'et': 4}"
